#timestamp(s) cam0 cam1 cam2 mono stereo observe
1694074181.63578 127 35 98 190 35 225
1694074181.70244 125 30 97 192 30 222
1694074181.73577 128 33 98 193 33 226
1694074181.83711 124 24 96 196 24 220
1694074181.90332 127 29 96 194 29 223
1694074181.93711 125 28 97 194 28 222
1694074182.00245 126 30 96 192 30 222
1694074182.03578 127 30 97 194 30 224
1694074182.10377 125 26 98 197 26 223
1694074182.20333 121 26 98 193 26 219
1694074182.23779 123 26 99 196 26 222
1694074182.30245 123 25 99 197 25 222
1694074182.33578 123 24 99 198 24 222
1694074182.40333 123 25 99 197 25 222
1694074182.50335 121 22 96 195 22 217
1694074182.53780 122 22 99 199 22 221
1694074182.60246 123 25 98 196 25 221
1694074182.70306 122 24 97 195 24 219
1694074182.73672 122 25 97 194 25 219
1694074182.80447 123 27 95 191 27 218
1694074182.90247 124 26 95 193 26 219
1694074182.93580 124 26 96 194 26 220
1694074183.00308 125 27 96 194 27 221
1694074183.03781 126 29 98 195 29 224
1694074183.10447 126 30 98 194 30 224
1694074183.13781 124 28 98 194 28 222
1694074183.20335 124 27 98 195 27 222
1694074183.23645 126 30 98 194 30 224
1694074183.30310 126 33 97 190 33 223
1694074183.33646 124 30 97 191 30 221
1694074183.40337 124 31 96 189 31 220
1694074183.50406 127 31 93 189 31 220
1694074183.53646 126 31 96 191 31 222
1694074183.63646 124 29 95 190 29 219
1694074183.70249 126 29 95 192 29 221
1694074183.83673 126 28 95 193 28 221
1694074183.90311 128 32 98 194 32 226
1694074183.93647 127 31 99 195 31 226
1694074184.00310 128 30 99 197 30 227
1694074184.03582 130 28 98 200 28 228
1694074184.10248 129 30 99 198 30 228
1694074184.13673 129 30 99 198 30 228
1694074184.20312 128 30 99 197 30 227
1694074184.23716 129 31 99 197 31 228
1694074184.33715 129 29 98 198 29 227
1694074184.40249 130 27 97 200 27 227
1694074184.43673 130 28 98 200 28 228
1694074184.53716 131 31 97 197 31 228
1694074184.60379 130 31 97 196 31 227
1694074184.63716 131 31 96 196 31 227
1694074184.70250 129 30 96 195 30 225
1694074184.73675 128 26 96 198 26 224
1694074184.83584 127 24 96 199 24 223
1694074184.93584 127 24 95 198 24 222
1694074185.00250 127 23 96 200 23 223
1694074185.03676 128 24 98 202 24 226
1694074185.13585 127 23 99 203 23 226
1694074185.20251 129 26 100 203 26 229
1694074185.23585 131 25 100 206 25 231
1694074185.30251 132 27 99 204 27 231
1694074185.33676 131 25 100 206 25 231
1694074185.40340 131 25 100 206 25 231
1694074185.43586 132 26 100 206 26 232
1694074185.50252 130 28 100 202 28 230
1694074185.53585 129 26 100 203 26 229
1694074185.63717 124 28 100 196 28 224
1694074185.70321 129 31 101 199 31 230
1694074185.73656 129 29 100 200 29 229
1694074185.80231 128 29 99 198 29 227
1694074185.93696 124 25 95 194 25 219
1694074186.00318 124 26 96 194 26 220
1694074186.10231 121 24 97 194 24 218
1694074186.13564 122 25 98 195 25 220
1694074186.20291 121 23 98 196 23 219
1694074186.30360 125 25 97 197 25 222
1694074186.33656 125 26 99 198 26 224
1694074186.40231 118 22 99 195 22 217
1694074186.50362 122 23 99 198 23 221
1694074186.53698 122 22 100 200 22 222
1694074186.60361 119 20 100 199 20 219
1694074186.70232 119 23 98 194 23 217
1694074186.73565 120 25 99 194 25 219
1694074186.80373 120 24 99 195 24 219
1694074186.83699 120 21 99 198 21 219
1694074186.90364 118 20 99 197 20 217
1694074186.93699 120 26 99 193 26 219
1694074187.00322 121 27 98 192 27 219
1694074187.03566 119 22 98 195 22 217
1694074187.10373 120 25 98 193 25 218
1694074187.13709 119 25 98 192 25 217
1694074187.20361 118 24 97 191 24 215
1694074187.30390 116 25 93 184 25 209
1694074187.33566 119 27 94 186 27 213
1694074187.40364 117 25 93 185 25 210
1694074187.50373 116 21 93 188 21 209
1694074187.53708 115 22 93 186 22 208
1694074187.60373 116 26 93 183 26 209
1694074187.63658 117 28 93 182 28 210
1694074187.73711 117 29 90 178 29 207
1694074187.80373 118 26 90 182 26 208
1694074187.90372 119 29 89 179 29 208
1694074187.93709 117 28 89 178 28 206
1694074188.00374 118 29 89 178 29 207
1694074188.10374 115 23 89 181 23 204
1694074188.13710 117 26 89 180 26 206
1694074188.20235 118 25 88 181 25 206
1694074188.33570 116 24 85 177 24 201
1694074188.40236 118 28 85 175 28 203
1694074188.43569 118 26 88 180 26 206
1694074188.50235 119 28 87 178 28 206
1694074188.73570 115 22 87 180 22 202
1694074188.80236 117 24 91 184 24 208
1694074188.83569 116 22 92 186 22 208
1694074188.90376 117 23 93 187 23 210
1694074188.93634 118 22 93 189 22 211
1694074189.00237 117 22 93 188 22 210
1694074189.03570 117 21 93 189 21 210
1694074189.10236 117 23 93 187 23 210
1694074189.13569 118 21 94 191 21 212
1694074189.20374 118 24 94 188 24 212
1694074189.30238 115 23 92 184 23 207
1694074189.33571 115 24 94 185 24 209
1694074189.40237 114 23 94 185 23 208
1694074189.43570 116 22 95 189 22 211
1694074189.50376 116 22 95 189 22 211
1694074189.60238 118 27 94 185 27 212
1694074189.63571 117 25 94 186 25 211
1694074189.73570 116 24 95 187 24 211
1694074189.80368 118 30 95 183 30 213
1694074189.90295 114 27 95 182 27 209
1694074189.93572 118 28 97 187 28 215
1694074190.00238 117 26 96 187 26 213
1694074190.03571 117 23 96 190 23 213
1694074190.10368 115 25 95 185 25 210
1694074190.13705 117 24 96 189 24 213
1694074190.20300 116 24 95 187 24 211
1694074190.23637 118 25 95 188 25 213
1694074190.30238 119 26 95 188 26 214
1694074190.40370 121 28 94 187 28 215
1694074190.43705 122 27 95 190 27 217
1694074190.50368 122 27 95 190 27 217
1694074190.53636 122 25 94 191 25 216
1694074190.60239 124 25 95 194 25 219
1694074190.70370 121 24 94 191 24 215
1694074190.73706 126 25 95 196 25 221
1694074190.80371 124 25 95 194 25 219
1694074190.83706 126 28 95 193 28 221
1694074190.90239 126 29 95 192 29 221
1694074190.93572 125 28 95 192 28 220
1694074191.00370 124 27 95 192 27 219
1694074191.03707 125 28 96 193 28 221
1694074191.10371 125 27 96 194 27 221
1694074191.13774 126 30 96 192 30 222
1694074191.20240 126 29 96 193 29 222
1694074191.23573 125 31 96 190 31 221
1694074191.30373 124 30 95 189 30 219
1694074191.33707 124 29 95 190 29 219
1694074191.43774 124 28 94 190 28 218
1694074191.50241 126 30 94 190 30 220
1694074191.53574 126 28 94 192 28 220
1694074191.63775 123 27 95 191 27 218
1694074191.70371 125 32 95 188 32 220
1694074191.73775 119 25 95 189 25 214
1694074191.80241 120 27 95 188 27 215
1694074191.90329 121 26 95 190 26 216
1694074191.93777 122 30 95 187 30 217
1694074192.00330 126 35 95 186 35 221
1694074192.03776 127 35 96 188 35 223
1694074192.10241 125 32 96 189 32 221
1694074192.13575 126 33 96 189 33 222
1694074192.20303 122 33 96 185 33 218
1694074192.23709 122 32 95 185 32 217
1694074192.33667 121 31 94 184 31 215
1694074192.40331 121 32 95 184 32 216
1694074192.43640 115 26 95 184 26 210
1694074192.50301 117 26 94 185 26 211
1694074192.53639 118 26 94 186 26 212
1694074192.63667 112 27 94 179 27 206
1694074192.70330 113 27 94 180 27 207
1694074192.73641 114 30 94 178 30 208
1694074192.80305 116 29 94 181 29 210
1694074192.83640 115 28 94 181 28 209
1694074192.90244 116 27 95 184 27 211
1694074192.93577 118 29 95 184 29 213
1694074193.00243 120 30 95 185 30 215
1694074193.03668 120 26 96 190 26 216
1694074193.10306 118 26 96 188 26 214
1694074193.20244 118 24 94 188 24 212
1694074193.23577 119 26 96 189 26 215
1694074193.33668 115 24 96 187 24 211
1694074193.40304 116 25 97 188 25 213
1694074193.43642 117 24 98 191 24 215
1694074193.50305 116 24 98 190 24 214
1694074193.53578 116 27 98 187 27 214
1694074193.60244 115 27 98 186 27 213
1694074193.63669 116 29 98 185 29 214
1694074193.70306 115 27 99 187 27 214
1694074193.73711 116 26 98 188 26 214
1694074193.80376 115 29 97 183 29 212
1694074193.90245 112 26 93 179 26 205
1694074193.93670 113 28 94 179 28 207
1694074194.00375 109 26 92 175 26 201
1694074194.03712 112 30 92 174 30 204
1694074194.13712 111 29 93 175 29 204
1694074194.20245 110 24 94 180 24 204
1694074194.23672 111 26 94 179 26 205
1694074194.33580 110 26 94 178 26 204
1694074194.40246 109 29 96 176 29 205
1694074194.43579 108 27 97 178 27 205
1694074194.50246 108 26 97 179 26 205
1694074194.53671 110 27 95 178 27 205
1694074194.63671 110 25 95 180 25 205
1694074194.70247 110 25 96 181 25 206
1694074194.73580 110 27 95 178 27 205
1694074194.83644 108 28 95 175 28 203
1694074194.90337 108 26 95 177 26 203
1694074195.00247 110 26 92 176 26 202
1694074195.10247 109 25 94 178 25 203
1694074195.13714 109 26 94 177 26 203
1694074195.20334 110 24 95 181 24 205
1694074195.30248 108 24 95 179 24 203
1694074195.33581 110 25 95 180 25 205
1694074195.40247 109 24 95 180 24 204
1694074195.43715 109 24 95 180 24 204
1694074195.53673 108 26 95 177 26 203
1694074195.60248 108 26 95 177 26 203
1694074195.63581 108 26 94 176 26 202
1694074195.70380 108 24 94 178 24 202
1694074195.73715 111 28 94 177 28 205
1694074195.80379 112 28 93 177 28 205
1694074195.83673 111 29 93 175 29 204
1694074195.93582 111 30 93 174 30 204
1694074196.00378 110 29 91 172 29 201
1694074196.03715 111 28 92 175 28 203
1694074196.13715 111 25 91 177 25 202
1694074196.20407 112 27 91 176 27 203
1694074196.23583 114 30 92 176 30 206
1694074196.30379 114 31 92 175 31 206
